Number,Name,source,긴급도,추출 가능,source 존재,구현 방법,Created by,구현
1,한 유저의 티클링 공유링크에 대한 클릭 수 - 티클링 공유링크에 대한 공유링크 클릭 수 평균,FA API,긴급,No,No,,엄승주,최영섭
2,한 유저의 티클링 공유링크에 대한 앱 오픈 수 - 티클링 공유링크에 대한 앱 오픈 수 평균,FA API,긴급,No,No,,엄승주,최영섭
3,한 유저의 티클링 공유링크에 대한 가입자수 - 전체 티클링 공유링크에 대한 가입자 수,FA API,긴급,No,No,,엄승주,최영섭
4,한 유저의 티클링 공유링크에 대한 결제수 - 전체 티클링 공유링크에 대한 결제수,FA API,긴급,No,No,,엄승주,최영섭
5,한 유저의 티클링 공유링크에 대한 티클링 open수 - 전체 티클링 공유링크에 대한 티클링,FA API,긴급,No,No,,엄승주,최영섭
6,공유링크를 통한 가입자의 티클링 open수,FA API,긴급,No,No,,엄승주,최영섭
7,홍보용 앱 설치링크 클릭 수,페이스북 광고관리자,긴급,No,Yes,페이스북광고관리자,엄승주,엄승주
8,홍보용 앱 설치링크 앱 오픈 수,,긴급,No,No,,엄승주,엄승주
9,홍보용 앱 설치링크를 통한 가입자수,,긴급,No,No,,엄승주,엄승주
10,홍보용 앱 설치링크를 통한 첫 티클링 오픈수,,긴급,No,No,,엄승주,엄승주
11,"홍보용 앱 설치링크를 통한 첫 티클링 공유수 ",,긴급,No,No,,엄승주,엄승주
12,홍보용 앱 설치링크를 통한 전체 티클링 오픈 수에 대한 티글링 공유수 비율,다른 지표,긴급,No,No,"(홍보용 앱 설치링크를 통한 첫 티클링 오픈수)
 / 
(홍보용 앱 설치링크를 통한 첫 티클링 공유수)",엄승주,엄승주
13,"월간, 주간, 일간 가입자 수",DB,후순위,No,Yes,DB쿼리,엄승주,
14,"월간, 주간, 일간 (티클을 받은)티클링 오픈 수",,후순위,No,Yes,DB쿼리,엄승주,
15,"월간, 주간, 일간 (티클을 받지 않은)티클링 오픈 수",,후순위,No,Yes,DB쿼리,엄승주,
