Number,Name,source,긴급도,추출 가능,source 존재,구현 방법,Created by,구현
1,"월간, 주간, 일간 가입자 수",DB,후순위,No,Yes,DB쿼리,엄승주,
2,"월간, 주간, 일간 접속자 수",DB,긴급,No,No,"user테이블에 해당 유저가 접속했는지 여부 확인하는 column추가, 매일접속자수를 기록하는 테이블 추가, 유저가 서비스 들어왓을때 필수적으로 활용하는 api에서 접속했는지 확인하고 안 했다면 접속으로 체크하는 middleware추가",엄승주,최영섭
3,"월간, 주간, 일간 티클링 생성 수",DB,후순위,No,Yes,DB쿼리,엄승주,
4,"월간, 주간, 일간 티클 결제 수(매출)",DB,후순위,No,Yes,DB쿼리,엄승주,
5,사용자당 앱 방문 횟수 - 평균 방문 횟수,DB,후순위,No,No,,엄승주,
6,전체 티클링중 환급 비율,DB,후순위,No,Yes,DB쿼리,엄승주,
7,전체 티클링중 상품 배송 비율,DB,후순위,No,Yes,DB쿼리,엄승주,
8,두 번이상 티클링을 여는 유저의 수,DB,후순위,No,Yes,DB쿼리,엄승주,
9,공유링크를 통한 가입자의 티클링 open수,다른 지표,긴급,No,No,1-6에서 측정가능,엄승주,최영섭
10,한 티클링에 모이는 평균 티클링 수(가격),DB,후순위,No,Yes,DB쿼리,엄승주,
11,마케팅 비용당 추가적인 유저 수,다른 지표,긴급,No,No,"(1-9지표)
/
(마케팅 비용)",엄승주,엄승주
12,유저의 홍보용 링크 클릭 이후 위시리스트에 상품 추가,,,No,No,,엄승주,
