Method,URL Patterns,Detail,담당자,작업 완료,Last Updated,1차 MVP
GET,/feeds,피드 조회,영두 우,Yes,,Yes
POST,/feeds,피드 작성,영두 우,Yes,,Yes
GET,/feeds/{feedId},피드 상세 조회,영두 우,Yes,,Yes
PUT,/feeds/{feedId},피드 수정,영두 우,No,,No
DELETE,/feeds/{feedId},피드 삭제,영두 우,Yes,,Yes
GET,/feeds/{feedId}/comments,피드별 댓글 리스트 조회,영두 우,Yes,,Yes
POST,/feeds/{feedId}/comments/parent,댓글 생성,영두 우,Yes,,Yes
PUT,/feeds/comments/{commentId},댓글/대댓글 수정,영두 우,No,,No
DELETE,/feeds/comments/{commentId},댓글/대댓글 삭제,영두 우,No,,No
POST,/feeds/{feedId}/comments/{parentId}/children,대댓글 생성,영두 우,Yes,,Yes
